Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-07-12, the article 'How six Florida newsrooms are working together to strengthen climate change coverage' has a sentiment score of Sentiment(polarity=0.14406401679128952, subjectivity=0.3959733700642792)
On 2019-07-12, the article 'Essential movies of the '90s, from 'Goodfellas' to 'The Truman Show'' has a sentiment score of Sentiment(polarity=0.04625420875420876, subjectivity=0.4404882154882155)
On 2019-07-11, the article ''Circus show' summit: Trump delivers meandering speech to his digital army of supporters at the White House' has a sentiment score of Sentiment(polarity=0.07108382936507936, subjectivity=0.32117063492063486)
On 2019-07-12, the article 'The Fed is coming to the rescue. But there's no emergency' has a sentiment score of Sentiment(polarity=0.06728412698412699, subjectivity=0.4332809523809523)
On 2019-07-12, the article 'Weekend sports lineup includes Serena Williams and the Big 3 aiming for more Wimbledon glory' has a sentiment score of Sentiment(polarity=0.11167614685056548, subjectivity=0.3957095875700528)
On 2019-07-11, the article 'New Orleans faces a never-before-seen problem with Tropical Storm Barry' has a sentiment score of Sentiment(polarity=0.050829966329966336, subjectivity=0.43413516113516115)
On 2019-07-11, the article 'Louisiana residents evacuate as Tropical Storm Barry develops in the Gulf, threatening more epic flooding' has a sentiment score of Sentiment(polarity=0.051458633958633974, subjectivity=0.5110503848003847)
On 2019-07-11, the article 'Trump's 'social media summit' isn't fearsome, it's pitiful' has a sentiment score of Sentiment(polarity=0.04297619047619047, subjectivity=0.3885930735930736)
On 2019-07-11, the article 'Kamala Harris proposes investing $1 billion to end rape kit backlog nationwide' has a sentiment score of Sentiment(polarity=0.04473304473304476, subjectivity=0.41150680916305915)
On 2019-07-10, the article 'Trump invites right-wing extremists to White House 'social media summit'' has a sentiment score of Sentiment(polarity=-0.014407282215501391, subjectivity=0.2969140068455136)
On 2019-07-11, the article 'A murder suspect mistakenly released from a Florida jail has been arrested in Georgia' has a sentiment score of Sentiment(polarity=0.06296296296296296, subjectivity=0.3851851851851852)
On 2019-07-10, the article 'Hurricane watches issued for parts of coastal Louisiana ahead of storm' has a sentiment score of Sentiment(polarity=0.09038738576238578, subjectivity=0.4092953342953343)
On 2019-07-10, the article 'New Orleans floods ahead of possible hurricane' has a sentiment score of Sentiment(polarity=0.06699040253727756, subjectivity=0.43957764650472964)
On 2019-07-10, the article 'To get equal pay, senator aims at men's World Cup' has a sentiment score of Sentiment(polarity=0.16229603729603734, subjectivity=0.3607517482517482)
On 2019-07-09, the article 'Inside the Fed's 'hall of mirrors' problem' has a sentiment score of Sentiment(polarity=0.03195841716968478, subjectivity=0.4337776659959758)
On 2019-07-10, the article 'Historic vote could legalize abortion and same-sex marriage in Northern Ireland' has a sentiment score of Sentiment(polarity=0.05822400388726918, subjectivity=0.3955903790087462)
On 2019-07-09, the article 'Delaware activist could become first ever transgender state senator' has a sentiment score of Sentiment(polarity=0.04645833333333334, subjectivity=0.33666666666666667)
On 2019-07-09, the article 'Exclusive: Jill Biden on Kamala Harris' attack: The American people 'didn't buy it'' has a sentiment score of Sentiment(polarity=0.11066457255481646, subjectivity=0.4800813008130082)
On 2019-07-09, the article 'A guide to partying like the USWNT' has a sentiment score of Sentiment(polarity=0.45909090909090916, subjectivity=0.38686868686868686)
On 2019-07-08, the article 'Texas 4th of July road rage incident with an AR-15 could have ended before children were hurt, police say' has a sentiment score of Sentiment(polarity=0.09557692307692307, subjectivity=0.49264957264957265)
On 2019-07-08, the article 'Watch Alex Morgan twerk in the locker room after the US win' has a sentiment score of Sentiment(polarity=0.04886039886039886, subjectivity=0.43361823361823365)
On 2019-07-08, the article 'The most notable lines from Michelle Obama's deeply personal interview at Essence Festival' has a sentiment score of Sentiment(polarity=0.17749989492707943, subjectivity=0.5286745051065438)
On 2019-07-08, the article 'Joe Biden and Kamala Harris reignite 1970s controversy' has a sentiment score of Sentiment(polarity=0.10484126984126982, subjectivity=0.4128134920634921)
On 2019-07-05, the article 'Texas police arrest suspect who fired into a family's car, igniting the fireworks inside and injuring 2 children' has a sentiment score of Sentiment(polarity=0.02812499999999999, subjectivity=0.45625)
On 2019-07-07, the article 'Kamala Harris stops short of fully accepting Biden's apology: 'We cannot rewrite history'' has a sentiment score of Sentiment(polarity=0.04413313024424136, subjectivity=0.41427435732991286)
On 2019-07-07, the article 'Michelle Obama: 'Barack and I are going to support whoever wins the primary'' has a sentiment score of Sentiment(polarity=0.12892140947288003, subjectivity=0.4349586198115609)
On 2019-07-07, the article 'Megan Rapinoe starts for USWNT in World Cup final' has a sentiment score of Sentiment(polarity=0.02708333333333333, subjectivity=0.4840277777777777)
On 2019-07-07, the article 'Trump keeps his promise' has a sentiment score of Sentiment(polarity=0.04621739099680276, subjectivity=0.40249770110064226)
On 2019-07-05, the article 'After the fireworks, Trump makes more' has a sentiment score of Sentiment(polarity=0.15610795454545456, subjectivity=0.4397374364765669)
On 2019-07-05, the article 'What Kamala Harris and AOC can't make Joe Biden do' has a sentiment score of Sentiment(polarity=0.17443804403481825, subjectivity=0.4096748591909883)
On 2019-07-05, the article 'CNN Exclusive: Joe Biden says he wasn't prepared for Kamala Harris to confront him the way she did' has a sentiment score of Sentiment(polarity=0.11717445189219386, subjectivity=0.35689167015779916)
On 2019-07-05, the article 'What makes a movie a classic?' has a sentiment score of Sentiment(polarity=0.1732371991807475, subjectivity=0.5395133128520224)
On 2019-07-05, the article 'An armed man tried to rob a fireworks stand. He was shot with his own gun by an employee' has a sentiment score of Sentiment(polarity=-0.12222222222222223, subjectivity=0.45555555555555555)
On 2019-07-04, the article 'Harris and Biden campaigns spar over desegregation busing one week after first debate' has a sentiment score of Sentiment(polarity=0.12779947916666667, subjectivity=0.47820684523809526)
On 2019-07-04, the article 'Earthquake rattles Southern California' has a sentiment score of Sentiment(polarity=0.05000042839105336, subjectivity=0.35634573412698406)
On 2019-07-03, the article 'Walkers rushed to hospital after bee attack' has a sentiment score of Sentiment(polarity=0.0567099567099567, subjectivity=0.4483225108225108)
On 2019-07-02, the article 'The S&P 500 could be nearly 5% higher if it wasn't for the trade war' has a sentiment score of Sentiment(polarity=0.07705729166666667, subjectivity=0.27722537878787873)
On 2019-07-02, the article 'Kamala Harris' secret weapon' has a sentiment score of Sentiment(polarity=0.04601697244554387, subjectivity=0.37753594619666037)
On 2019-07-02, the article 'American Medical Association sues North Dakota over abortion counseling law' has a sentiment score of Sentiment(polarity=0.06008522727272727, subjectivity=0.31174242424242415)
On 2019-07-02, the article 'Roger Federer drops set -- but then cruises in Wimbledon opener' has a sentiment score of Sentiment(polarity=0.09514814814814815, subjectivity=0.39850264550264547)
On 2019-07-02, the article 'Biden blew his chance to get on the right side of history' has a sentiment score of Sentiment(polarity=0.05266965723487462, subjectivity=0.3848130894870024)
On 2019-07-01, the article 'The hugely inappropriate weekend of Ivanka Trump and Donald Trump Jr.' has a sentiment score of Sentiment(polarity=0.01242424242424242, subjectivity=0.41146428967857535)
On 2019-07-01, the article 'How Kamala Harris conspiracies festered online before making it to Trump Jr.' has a sentiment score of Sentiment(polarity=-0.0025844510680576374, subjectivity=0.3712497338726847)
On 2019-06-30, the article 'Joe Biden explained opposition to desegregation busing in 1981 CNN interview' has a sentiment score of Sentiment(polarity=0.03662455115943488, subjectivity=0.3599802006778751)
On 2019-07-01, the article ''Bond 25' is filming across London and Daniel Craig is everywhere' has a sentiment score of Sentiment(polarity=0.07666666666666666, subjectivity=0.265)
On 2019-06-30, the article 'Biden's 'gay waiter' comment on LGBTQ rights falls flat in Seattle' has a sentiment score of Sentiment(polarity=0.07588183421516755, subjectivity=0.30094797178130506)
On 2019-06-30, the article 'Protesters temporarily block San Francisco Pride parade' has a sentiment score of Sentiment(polarity=-0.20381944444444447, subjectivity=0.2923611111111111)
On 2019-06-30, the article 'Kamala Harris to get more personal on the campaign trail' has a sentiment score of Sentiment(polarity=0.09951874366767983, subjectivity=0.4049346044026896)
On 2019-06-29, the article 'What you need to know about busing' has a sentiment score of Sentiment(polarity=0.09225257501119573, subjectivity=0.399134199134199)
On 2019-06-29, the article 'Harris dropped a bomb on Biden that's bigger than politics' has a sentiment score of Sentiment(polarity=0.0013399014180264207, subjectivity=0.36996483551171044)
On 2019-06-25, the article 'G20 summit 2019: Trump meets leaders in Osaka' has a sentiment score of Sentiment(polarity=0.07709933706133922, subjectivity=0.3838205284117236)
On 2019-06-30, the article 'K-pop star power kicks off Trump's visit to South Korea' has a sentiment score of Sentiment(polarity=0.3071428571428571, subjectivity=0.5071428571428571)
On 2019-06-29, the article 'Europe's population is aging rapidly. Here's how to turn that into an opportunity' has a sentiment score of Sentiment(polarity=0.08942954894567798, subjectivity=0.33239701159055995)
On 2019-06-28, the article 'Fact check: Kamala Harris was correct on integration in Berkeley, school district confirms' has a sentiment score of Sentiment(polarity=0.09006544138123085, subjectivity=0.47691450849345574)
On 2019-06-28, the article 'Biden on debate moment: 'I heard and I listened to and I respect Sen. Harris'' has a sentiment score of Sentiment(polarity=-0.0255, subjectivity=0.4028888888888889)
On 2019-06-28, the article 'There's still a ban on federal funds for school busing' has a sentiment score of Sentiment(polarity=0.07814357864357864, subjectivity=0.39230032930032915)
On 2019-06-28, the article 'The pressure is on Joe Biden after first debate: 'He knows he has to do better'' has a sentiment score of Sentiment(polarity=0.10027281746031746, subjectivity=0.4419146825396826)
On 2019-06-28, the article 'Relatives desperately search for answers after Americans go missing on Barbados Jet Ski ride' has a sentiment score of Sentiment(polarity=-0.008309283309283315, subjectivity=0.42344877344877346)
On 2019-06-28, the article 'Apollo Mission Control Center restored to its former glory' has a sentiment score of Sentiment(polarity=0.12076502732240436, subjectivity=0.42673041894353364)
On 2019-06-28, the article 'Kamala Harris shines in commanding Democratic debate performance' has a sentiment score of Sentiment(polarity=0.08010204081632655, subjectivity=0.40059523809523817)
On 2019-06-28, the article 'Cory Booker 'couldn't believe' Joe Biden answer on busing to desegregate schools' has a sentiment score of Sentiment(polarity=-0.009453227931488806, subjectivity=0.4275691699604744)
On 2019-04-11, the article 'Letters from Joe Biden reveal how he sought support of segregationists in fight against busing' has a sentiment score of Sentiment(polarity=0.13460780863219884, subjectivity=0.4236032215300508)
On 2019-06-28, the article 'Joe Biden has a long history and a lot of Democrats are just learning about it' has a sentiment score of Sentiment(polarity=-0.042230392156862744, subjectivity=0.4524673202614379)
On 2019-06-28, the article 'Democratic debate: Night two by the numbers' has a sentiment score of Sentiment(polarity=0.19375, subjectivity=0.32708333333333334)
On 2019-06-28, the article 'He admits to killing 8 women in cold blood. But don't call him evil.' has a sentiment score of Sentiment(polarity=-0.24774824658545594, subjectivity=0.6098744924326318)
On 2015-12-24, the article 'Linda Ronstadt Fast Facts' has a sentiment score of Sentiment(polarity=0.3405316905316905, subjectivity=0.33414987789987793)
On 2013-01-12, the article 'Carol Channing Fast Facts' has a sentiment score of Sentiment(polarity=0.16377817584714138, subjectivity=0.4086804000597105)
On 2019-06-26, the article 'A woman watched her husband and daughter drown at the Mexican border, report says' has a sentiment score of Sentiment(polarity=-0.0244535082972583, subjectivity=0.39225450937950934)
On 2019-06-25, the article 'Parents of a baby who died with 96 fractures charged in her death' has a sentiment score of Sentiment(polarity=0.045720720720720726, subjectivity=0.2533783783783784)
On 2019-06-25, the article 'Kamala Harris endorsed by Rep. William Lacy Clay' has a sentiment score of Sentiment(polarity=0.12303992303992305, subjectivity=0.34902196568863236)
On 2019-06-25, the article 'The rent is still too damn high and 2020 candidates finally want to do something about it' has a sentiment score of Sentiment(polarity=0.06086186206084165, subjectivity=0.4119692184233)
On 2019-06-23, the article 'Biden needs to worry about his own party before courting the GOP' has a sentiment score of Sentiment(polarity=0.09041489662984985, subjectivity=0.46868865558117906)
On 2019-06-23, the article 'A woman is accused of playing a game of 'chicken' with her SUV and her kids. Now her 3-year-old is dead' has a sentiment score of Sentiment(polarity=-0.09821428571428571, subjectivity=0.46289682539682536)
On 2019-06-22, the article 'Kamala Harris touts prosecutor past as a strength: 'I know how to take on predators'' has a sentiment score of Sentiment(polarity=0.10571608946608947, subjectivity=0.38193722943722946)
On 2019-06-22, the article 'Man arrested after hidden camera found in James Bond studio toilets' has a sentiment score of Sentiment(polarity=0.05902777777777778, subjectivity=0.33749999999999997)
On 2019-06-22, the article 'An Ohio mom dropped off her infant at daycare. The baby was 'lifeless' when she picked her up' has a sentiment score of Sentiment(polarity=-0.0317099567099567, subjectivity=0.2751082251082251)
On 2019-06-22, the article 'These states are strengthening abortion laws even as others dismantle them' has a sentiment score of Sentiment(polarity=0.13763259157996, subjectivity=0.37918976734766213)
On 2019-06-21, the article 'Joe Biden's segregationist comments loom large as 2020 Democrats gather in South Carolina' has a sentiment score of Sentiment(polarity=0.05276659451659449, subjectivity=0.3965407647907647)
On 2019-06-20, the article 'Black lawmakers defend Biden after his comments on working with segregationists' has a sentiment score of Sentiment(polarity=-0.00039071098393133035, subjectivity=0.39637721036026125)
On 2013-06-04, the article 'Elton John Fast Facts' has a sentiment score of Sentiment(polarity=0.2448801198801199, subjectivity=0.33281440781440785)
On 2019-06-20, the article 'Bill proposes fully covering HIV-prevention drug PrEP' has a sentiment score of Sentiment(polarity=0.14178751803751805, subjectivity=0.45954725829725807)
On 2019-06-20, the article 'Cassius' Philippe Zdar: French music producer dies in fall from building' has a sentiment score of Sentiment(polarity=0.16338500209467954, subjectivity=0.47130638179025286)
On 2019-06-19, the article 'Joe Biden recalls working with segregationist senators: 'At least there was some civility'' has a sentiment score of Sentiment(polarity=0.07830975702187823, subjectivity=0.4107139941988427)
On 2019-06-18, the article 'Trump launches 2020 bid with familiar refrains on immigration and trade' has a sentiment score of Sentiment(polarity=0.10586803650183933, subjectivity=0.3591798264333475)
On 2019-06-18, the article 'Los Angeles' homeless crisis: too many tents, too few beds' has a sentiment score of Sentiment(polarity=0.055689262236881296, subjectivity=0.4212656611466135)
On 2019-06-17, the article 'Biden slams critics of working with GOP: 'Why don't you all go home then, man?'' has a sentiment score of Sentiment(polarity=0.0851438492063492, subjectivity=0.31413690476190476)
On 2019-06-15, the article 'Buttigieg: My DOJ, not White House, would determine whether to prosecute Trump for obstruction' has a sentiment score of Sentiment(polarity=0.08192918192918193, subjectivity=0.42780830280830273)
On 2019-06-14, the article 'Fired for being transgender: The fight for LGBTQ workers' rights' has a sentiment score of Sentiment(polarity=0.07089226779820841, subjectivity=0.42979333647650503)
On 2019-06-14, the article 'Prosecutors drop criminal charges in Flint water scandal' has a sentiment score of Sentiment(polarity=0.01534974379362135, subjectivity=0.4353575845922784)
On 2013-03-25, the article 'Andrea Yates Fast Facts' has a sentiment score of Sentiment(polarity=0.05112670068027209, subjectivity=0.4066326530612245)
On 2019-06-14, the article '5,200 people in ICE custody quarantined for exposure to mumps or chicken pox' has a sentiment score of Sentiment(polarity=-0.03305890538033396, subjectivity=0.44536203875489594)
On 2019-06-14, the article 'Kamala Harris foists Trump legal battle upon 2020 race' has a sentiment score of Sentiment(polarity=0.06310080484649452, subjectivity=0.39935375926755234)
On 2019-06-13, the article 'Kamala Harris: Trump is a 'clear and present threat to democracy'' has a sentiment score of Sentiment(polarity=-0.05346459096459096, subjectivity=0.281486568986569)
On 2019-06-13, the article '300 inmates in Texas' Harris County jail are quarantined over a mumps outbreak' has a sentiment score of Sentiment(polarity=0.009967183354280129, subjectivity=0.41042568542568547)
On 2019-06-13, the article '5 things to know for June 13: Trump, David Ortiz, Grand Canyon, tanker attacks, Vayu' has a sentiment score of Sentiment(polarity=0.029243295019157088, subjectivity=0.48120415982484943)
On 2019-06-12, the article 'What's moving markets today: June 12, 2019' has a sentiment score of Sentiment(polarity=0.050659482002939946, subjectivity=0.3753416002481425)
On 2019-06-12, the article 'Hong Kong stocks fall as huge protests hit financial center' has a sentiment score of Sentiment(polarity=0.11158008658008658, subjectivity=0.3360145231112973)
On 2019-06-12, the article 'Kamala Harris unveils immigration plan to expand deferred action, use executive action to provide pathway to citizenship' has a sentiment score of Sentiment(polarity=0.06626594126594128, subjectivity=0.32394846144846146)
On 2019-06-12, the article 'Kamala Harris: DOJ 'would have no choice' on prosecuting Trump after he leaves office' has a sentiment score of Sentiment(polarity=-0.11812169312169313, subjectivity=0.42526455026455023)
On 2019-06-12, the article 'Art and space: 'A quest never to end'' has a sentiment score of Sentiment(polarity=0.19972522285606398, subjectivity=0.4652533344122131)
On 2014-11-19, the article 'Loretta Lynch Fast Facts' has a sentiment score of Sentiment(polarity=0.0048072894847088375, subjectivity=0.4263353581901969)
On 2019-06-11, the article 'Chernobyl suddenly becomes visitor hotspot' has a sentiment score of Sentiment(polarity=0.055762987012986986, subjectivity=0.48617424242424223)
On 2019-06-10, the article 'Ken Cuccinelli takes over as acting director of Citizenship and Immigration Services' has a sentiment score of Sentiment(polarity=0.011111111111111115, subjectivity=0.3575825825825825)
On 2019-06-09, the article 'Kamala Harris defends criminal justice record in speech to South Carolina NAACP' has a sentiment score of Sentiment(polarity=-0.0015032421282421336, subjectivity=0.37037499537499535)
On 2019-06-08, the article 'Trump gave a great memorial speech and then he called Pelosi 'nasty'' has a sentiment score of Sentiment(polarity=-0.10490105977810897, subjectivity=0.5362022449317532)
On 2019-06-08, the article 'The Tony Awards are better than the Oscars, Emmys and Grammys. Here's why you should watch Sunday' has a sentiment score of Sentiment(polarity=0.2793989898989899, subjectivity=0.4209704184704185)
On 2019-06-05, the article 'Cory Booker unveils plan to combat housing 'affordability crisis'' has a sentiment score of Sentiment(polarity=0.17430613122102487, subjectivity=0.43155629240735627)
On 2019-06-06, the article 'Biden caves on the Hyde Amendment: what was the point of his candidacy?' has a sentiment score of Sentiment(polarity=0.0421090367965368, subjectivity=0.4646022727272728)
On 2019-06-06, the article 'How to be more like Jeff Bezos, according to Jeff Bezos' has a sentiment score of Sentiment(polarity=0.0712655971479501, subjectivity=0.42219251336898395)
On 2019-06-06, the article 'Biden defends crime bill amid criticism from Democratic foes and Trump' has a sentiment score of Sentiment(polarity=0.032068181818181836, subjectivity=0.5145050505050505)
On 2019-06-06, the article 'Pew Research Center finds widespread agreement about the 'made-up news' malady' has a sentiment score of Sentiment(polarity=0.06548786944470399, subjectivity=0.4270220447019008)
On 2019-06-05, the article 'Tariffs on Mexico could cost America 400,000 jobs, a new report says' has a sentiment score of Sentiment(polarity=0.11874999999999998, subjectivity=0.4305107526881719)
On 2019-06-05, the article 'Murder charges dropped against one defendant in Baltimore 'good Samaritan' killing' has a sentiment score of Sentiment(polarity=0.13511904761904764, subjectivity=0.44688208616780034)
On 2019-06-05, the article 'Suspect in Maleah Davis' death says 'nothing bad happened' as mom demands answers' has a sentiment score of Sentiment(polarity=-0.11768925518925517, subjectivity=0.30885225885225887)
On 2019-06-04, the article 'Murder suspect mistakenly released from Florida jail' has a sentiment score of Sentiment(polarity=0.03216783216783217, subjectivity=0.498572261072261)
On 2019-06-04, the article ''Chernobyl' finale sparks Emmy buzz for Jared Harris' has a sentiment score of Sentiment(polarity=0.08133672633672633, subjectivity=0.5373487773487774)
On 2019-06-03, the article 'Maleah Davis' remains have been identified, authorities said Monday' has a sentiment score of Sentiment(polarity=-0.005836940836940839, subjectivity=0.22968975468975472)
On 2019-06-02, the article 'What to know about Douglas Emhoff, Kamala Harris' husband, after that onstage protester moment' has a sentiment score of Sentiment(polarity=0.1743438896594236, subjectivity=0.43087070426876256)
On 2019-06-02, the article 'Booker makes clear how he differs from Biden on gun licensing' has a sentiment score of Sentiment(polarity=0.05644781144781145, subjectivity=0.3530359147025814)
On 2019-06-02, the article 'Protester grabs Kamala Harris' microphone on stage during MoveOn forum' has a sentiment score of Sentiment(polarity=0.1549382716049383, subjectivity=0.46234567901234563)
On 2019-06-01, the article 'As hurricane season starts, coastal Catholics call on this holy go-between for protection from devastating storms' has a sentiment score of Sentiment(polarity=0.13969717389528707, subjectivity=0.4292316697977074)
On 2019-06-01, the article 'Remains found in search for Maleah Davis arrive in Houston for ID testing' has a sentiment score of Sentiment(polarity=0.018264513264513258, subjectivity=0.2967582417582418)
On 2019-05-30, the article 'Iron Maiden files $2m lawsuit over 'Ion Maiden' video game' has a sentiment score of Sentiment(polarity=0.09423076923076924, subjectivity=0.37756410256410267)
On 2019-05-30, the article 'Suspect in Maleah Davis' disappearance wouldn't let dad see her the day she went missing, dad says' has a sentiment score of Sentiment(polarity=-0.002083333333333335, subjectivity=0.18981481481481483)
On 2019-05-30, the article 'Cory Booker slams 1994 crime bill as 'awful' and 'a mistake'' has a sentiment score of Sentiment(polarity=-0.04840909090909091, subjectivity=0.5149521531100479)
On 2019-05-29, the article 'Mueller: 'If we had had confidence that the President clearly did not commit a crime, we would have said so'' has a sentiment score of Sentiment(polarity=0.08306611084388861, subjectivity=0.44394383908272805)
On 2019-05-29, the article 'Cory Booker calls for impeachment proceedings to begin' has a sentiment score of Sentiment(polarity=-0.026286676286676282, subjectivity=0.48385040885040886)
On 2019-05-29, the article 'Amash says many Republican lawmakers 'think I'm right,' but 'they just won't say it'' has a sentiment score of Sentiment(polarity=0.15645487783128229, subjectivity=0.5466793942636637)
On 2019-05-28, the article 'Joe Biden unveils education platform that boosts funding for low-income districts' has a sentiment score of Sentiment(polarity=0.08847466259230964, subjectivity=0.33267697988286216)
On 2019-05-28, the article 'Kamala Harris rolls out proposal that would require states to prove abortion laws were constitutional' has a sentiment score of Sentiment(polarity=0.11762040043290044, subjectivity=0.4393770292207793)
On 2019-05-25, the article 'Ashley Judd says she's not part of Harvey Weinstein's $44 million settlement' has a sentiment score of Sentiment(polarity=0.1738636363636364, subjectivity=0.4647306397306398)
On 2019-05-23, the article 'Maleah Davis searchers don't believe she's alive' has a sentiment score of Sentiment(polarity=-0.017187499999999998, subjectivity=0.35000000000000003)
On 2019-05-24, the article 'Harvey Weinstein accusers reach $44M deal over alleged sexual misconduct' has a sentiment score of Sentiment(polarity=0.10108225108225105, subjectivity=0.4150252525252526)
On 2019-05-21, the article 'A man who spent nearly 46 years in prison for a wrongful conviction will get $1.5 million' has a sentiment score of Sentiment(polarity=0.11505349995916034, subjectivity=0.45413909989381673)
On 2019-05-21, the article 'Kamala Harris now supports independent investigations of fatal police shootings' has a sentiment score of Sentiment(polarity=0.07272408963585435, subjectivity=0.33853874883286655)
On 2019-05-20, the article 'Why Justin Amash is particularly vulnerable to a primary challenge' has a sentiment score of Sentiment(polarity=0.13199023199023202, subjectivity=0.45255647130647125)
On 2019-05-20, the article 'Harris unveils plan to fine companies that don't achieve pay equity' has a sentiment score of Sentiment(polarity=0.07332683982683982, subjectivity=0.3709436785436786)
On 2019-05-17, the article 'Trump offers deals where only he can win' has a sentiment score of Sentiment(polarity=0.09017256985438801, subjectivity=0.44627075954348694)
On 2019-05-17, the article 'Kamala Harris invokes South Asian heritage in response to Trump's immigration plan' has a sentiment score of Sentiment(polarity=0.1055059523809524, subjectivity=0.38657142857142857)
On 2019-05-16, the article 'Woman killed by a policeman after saying she was pregnant suffered from schizophrenia, attorney says' has a sentiment score of Sentiment(polarity=0.04270833333333334, subjectivity=0.4302083333333333)
On 2019-05-16, the article 'Mystery behind tiger found in vacant Houston home solved. One woman arrested' has a sentiment score of Sentiment(polarity=-0.0748397435897436, subjectivity=0.38750000000000007)
On 2019-05-16, the article 'Search for Maleah Davis leads to area that suspect allegedly described as a good place to hide a body' has a sentiment score of Sentiment(polarity=0.01325757575757575, subjectivity=0.340530303030303)
On 2019-05-15, the article 'Kamala Harris says Joe Biden 'would be a great running mate' -- as No. 2' has a sentiment score of Sentiment(polarity=0.21889382547277283, subjectivity=0.6110161768056506)
On 2019-05-15, the article 'Kamala Harris says she'll ban imports of all AR-15 style assault weapons if Congress doesn't act' has a sentiment score of Sentiment(polarity=0.11176071055381401, subjectivity=0.3849686520376176)
On 2019-05-15, the article 'Kamala Harris says Joe Biden is wrong about the crime bill' has a sentiment score of Sentiment(polarity=0.02056677890011223, subjectivity=0.4396464646464646)
On 2019-05-14, the article 'Texas police officer shot and killed a woman during arrest attempt' has a sentiment score of Sentiment(polarity=-0.048919753086419764, subjectivity=0.42654320987654326)
On 2019-05-15, the article 'Brother of suspect in Maleah Davis disappearance says he's a 'good man'' has a sentiment score of Sentiment(polarity=0.06145061728395061, subjectivity=0.27777336860670193)
On 2019-05-14, the article 'State senator who sponsored 'bathroom bill' wins North Carolina GOP primary in do-over House race' has a sentiment score of Sentiment(polarity=0.12052114552114555, subjectivity=0.3888555888555889)
On 2019-05-14, the article 'William Barr's terrible judgment' has a sentiment score of Sentiment(polarity=0.05602478870336014, subjectivity=0.4475632601525457)
On 2019-05-14, the article 'Texas officer shoots woman who said she was pregnant' has a sentiment score of Sentiment(polarity=-0.014297227595099934, subjectivity=0.3982269503546099)
On 2019-05-14, the article 'GOP breaks filibuster of controversial circuit court judge' has a sentiment score of Sentiment(polarity=0.17007575757575757, subjectivity=0.5071969696969697)
On 2019-05-13, the article 'He said his fiancee's child was abducted. But police found blood in his home and signs of decay in his car' has a sentiment score of Sentiment(polarity=0.01567028985507246, subjectivity=0.2095238095238095)
On 2019-05-12, the article 'The man who was watching Maleah Davis is likely to be charged with murder, court documents say' has a sentiment score of Sentiment(polarity=0.006746031746031748, subjectivity=0.14912131519274374)
On 2019-05-12, the article 'Kamala Harris: Trump administration standoff with Congress 'potentially a constitutional crisis'' has a sentiment score of Sentiment(polarity=0.1489170725108225, subjectivity=0.5903212932900432)
On 2019-05-12, the article 'Kamala Harris: 'We're not at any loss for good ideas' about gun control' has a sentiment score of Sentiment(polarity=0.0744107744107744, subjectivity=0.4338383838383838)
On 2019-05-11, the article 'Man who was watching missing girl Maleah Davis arrested on suspicion of tampering with a corpse' has a sentiment score of Sentiment(polarity=-0.026282051282051282, subjectivity=0.08012820512820512)
On 2019-05-11, the article 'Southern Texas has seen nearly 600% more rainfall than it typically does in early May' has a sentiment score of Sentiment(polarity=-0.01953252032520325, subjectivity=0.3887398373983739)
On 2019-05-11, the article 'University of South Carolina awards posthumous degree to woman killed after getting into a car she thought was her Uber' has a sentiment score of Sentiment(polarity=-0.07553030303030303, subjectivity=0.28545454545454546)
On 2019-05-10, the article 'Joe Biden once said a fence was needed to stop 'tons' of drugs from Mexico' has a sentiment score of Sentiment(polarity=0.10268319844406805, subjectivity=0.42553532216575696)
On 2015-07-01, the article 'Dolly Parton Fast Facts' has a sentiment score of Sentiment(polarity=0.34328894269572247, subjectivity=0.3545318805488297)
On 2019-05-10, the article 'Houston gets drenched by overnight storms, and the region braces for another round later' has a sentiment score of Sentiment(polarity=0.006886315990089566, subjectivity=0.37085096245473603)
On 2019-05-10, the article 'Columbine and Aurora shooting survivors reflect on the 'new normal' and advise the latest victims: It will get better' has a sentiment score of Sentiment(polarity=0.09229984574812163, subjectivity=0.5777665820769268)
On 2019-05-10, the article 'Harris asks Barr to clarify whether Trump pressured him to investigate anyone' has a sentiment score of Sentiment(polarity=0.051032913165266106, subjectivity=0.4133928571428571)
On 2019-05-09, the article 'Democratic lawmakers introduce legislation to improve maternal health, particularly for black mothers' has a sentiment score of Sentiment(polarity=0.10286120129870127, subjectivity=0.43219076930014416)
On 2019-05-09, the article ''Empire' ends stormy season with rough waters ahead' has a sentiment score of Sentiment(polarity=0.1005681818181818, subjectivity=0.42371933621933616)
On 2019-05-08, the article 'Colorado is scarred by 2 decades of mass shootings' has a sentiment score of Sentiment(polarity=-0.20143939393939392, subjectivity=0.45438852813852815)
On 2019-05-07, the article 'A mother skipped her own graduation to attend her son's. So his school decided to confer both their degrees' has a sentiment score of Sentiment(polarity=0.15995421245421243, subjectivity=0.5003754578754578)
On 2019-05-08, the article 'Pete Buttigieg's rise opens doors to donors that fueled Obama, Clinton' has a sentiment score of Sentiment(polarity=0.20559512417407155, subjectivity=0.45900672134882653)
